"global_id";"Stop times code";"Trip code";"Arrival time";"Departure time";"Stop code";"Distance from the beginning of the route";"Type landing";"Destination is displayed";"Number stop";"Type of trip";"Interval on the route";
"global_id";"Код расписания";"Код рейса";"Время прибытия";"Время отправления";"Код остановки";"Расстояние от начала маршрута, км";"Тип посадки";"Пункт назначения рейса, отображающийся на информационном табло";"Номер остановки по пути следования";"Тип рейса";"Интервал на маршруте";
"5077295160";"";"4429_100019690_1_2";"05:39:00";"05:39:00";"8696";"";"";"";"9";"";"";
"5077311738";"";"4441_100019704_2_11";"09:17:00";"09:17:00";"5321";"";"";"";"8";"";"";
"5077311753";"";"4441_100019704_2_11";"09:36:00";"09:36:00";"22950";"";"";"";"20";"";"";
"5077311873";"";"4441_100019704_2_11";"09:18:00";"09:18:00";"6062";"";"";"";"9";"";"";
"5077311993";"";"4441_100019704_2_11";"09:23:00";"09:23:00";"6149";"";"";"";"12";"";"";
"5077312119";"";"4441_100019704_2_11";"09:24:00";"09:24:00";"6150";"";"";"";"13";"";"";
"5077312218";"";"4441_100019704_2_11";"09:03:00";"09:03:00";"8499";"";"";"";"1";"";"";
"5077312316";"";"4441_100019704_2_11";"09:39:00";"09:39:00";"6045";"";"";"";"22";"";"";
"5077312337";"";"4441_100019704_2_11";"09:06:00";"09:06:00";"13143";"";"";"";"3";"";"";
"5077312360";"";"4441_100019704_2_11";"09:58:00";"09:58:00";"3626";"";"";"";"30";"";"";
"5077312389";"";"4441_100019704_2_11";"09:29:00";"09:29:00";"15570";"";"";"";"16";"";"";
"5077312402";"";"4441_100019704_2_11";"09:31:00";"09:31:00";"6038";"";"";"";"17";"";"";
"5077312433";"";"4441_100019704_2_11";"09:49:00";"09:49:00";"3622";"";"";"";"26";"";"";
"5077312452";"";"4441_100019704_2_11";"09:45:00";"09:45:00";"7503";"";"";"";"25";"";"";
"5077312473";"";"4441_100019704_2_11";"09:12:00";"09:12:00";"5319";"";"";"";"6";"";"";
"5077312503";"";"4441_100019704_2_11";"09:35:00";"09:35:00";"6044";"";"";"";"19";"";"";
"5077312506";"";"4441_100019704_2_11";"09:44:00";"09:44:00";"7502";"";"";"";"24";"";"";
"5077312529";"";"4441_100019704_2_11";"09:21:00";"09:21:00";"4198";"";"";"";"11";"";"";
"5077312533";"";"4441_100019704_2_11";"09:56:00";"09:56:00";"16916";"";"";"";"29";"";"";
"5077312548";"";"4441_100019704_2_11";"09:15:00";"09:15:00";"5320";"";"";"";"7";"";"";
"5077312580";"";"4441_100019704_2_11";"09:20:00";"09:20:00";"6740";"";"";"";"10";"";"";
"5077312590";"";"4441_100019704_2_11";"09:26:00";"09:26:00";"6151";"";"";"";"14";"";"";
"5077312633";"";"4441_100019704_2_11";"09:33:00";"09:33:00";"6042";"";"";"";"18";"";"";
"5077312736";"";"4441_100019704_2_11";"09:08:00";"09:08:00";"4023";"";"";"";"4";"";"";
"5077312749";"";"4441_100019704_2_11";"09:28:00";"09:28:00";"11369";"";"";"";"15";"";"";
"5077312778";"";"4441_100019704_2_11";"09:10:00";"09:10:00";"5318";"";"";"";"5";"";"";
"5077312783";"";"4441_100019704_2_11";"09:37:00";"09:37:00";"7501";"";"";"";"21";"";"";
"5077312835";"";"4441_100019704_2_11";"09:51:00";"09:51:00";"3623";"";"";"";"27";"";"";
"5077312909";"";"4441_100019704_2_11";"09:41:00";"09:41:00";"6046";"";"";"";"23";"";"";
"5077312969";"";"4441_100019704_2_11";"09:53:00";"09:53:00";"3624";"";"";"";"28";"";"";
"5077313065";"";"4441_100019704_2_11";"09:05:00";"09:05:00";"8500";"";"";"";"2";"";"";
"5077552681";"";"4425_100019350_3_2";"08:13:00";"08:13:00";"7596";"";"";"";"27";"";"";
"5077552785";"";"4425_100019350_3_2";"08:10:00";"08:10:00";"7595";"";"";"";"25";"";"";
"5077552792";"";"4425_100019350_3_2";"08:24:00";"08:24:00";"7414";"";"";"";"34";"";"";
"5077552912";"";"4425_100019350_3_2";"08:08:00";"08:08:00";"7593";"";"";"";"23";"";"";
"5077552920";"";"4425_100019350_3_2";"08:26:00";"08:26:00";"4893";"";"";"";"35";"";"";
"5077552940";"";"4425_100019350_3_2";"08:29:00";"08:29:00";"10483";"";"";"";"38";"";"";
"5077552944";"";"4425_100019350_3_2";"08:09:00";"08:09:00";"7594";"";"";"";"24";"";"";
"5077552955";"";"4414_100031123_11_16";"24:02:00";"24:02:00";"6289";"";"";"";"36";"";"";
"5077552961";"";"4425_100019350_3_2";"08:11:00";"08:11:00";"10761";"";"";"";"26";"";"";
"5077553020";"";"4414_100031123_11_16";"23:19:00";"23:19:00";"6264";"";"";"";"2";"";"";
"5077553034";"";"4425_100019350_3_2";"08:28:00";"08:28:00";"5457";"";"";"";"37";"";"";
"5077553036";"";"4425_100019350_3_2";"07:58:00";"07:58:00";"6742";"";"";"";"17";"";"";
"5077553038";"";"4425_100019350_3_2";"08:07:00";"08:07:00";"21217";"";"";"";"22";"";"";
"5077553047";"";"4425_100019350_3_2";"07:47:00";"07:47:00";"7588";"";"";"";"8";"";"";
"5077553070";"";"4425_100019350_3_2";"07:40:00";"07:40:00";"7585";"";"";"";"4";"";"";
"5077553098";"";"4425_100019350_3_2";"08:17:00";"08:17:00";"7599";"";"";"";"30";"";"";
"5077553107";"";"4425_100019350_3_2";"08:15:00";"08:15:00";"7597";"";"";"";"28";"";"";
"5077553144";"";"4425_100019350_3_2";"07:37:00";"07:37:00";"7582";"";"";"";"1";"";"";
"5077553148";"";"4425_100019350_3_2";"07:59:00";"07:59:00";"10044";"";"";"";"18";"";"";
"5077553158";"";"4425_100019350_3_2";"07:42:00";"07:42:00";"7586";"";"";"";"5";"";"";
