"global_id";"Stop code";"Stop name";"Station Name";"Street";"Direction";"Pavilion";"Operating organization name";"Pavilion electrification";"Transport type";"Geodata";"Centroid";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"Электроподключение остановочного павильона";"Вид транспорта";"Геоданные";"Центроид";
"5107799618";"1004249";"ТРЦ «Реутов-Парк»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.88865129, 55.75349374]]]";"{type=Point, coordinates=[37.88865129, 55.75349374]}";
"5107799619";"1003634";"Ленинградская ул.";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.05539833, 56.07514135]]]";"{type=Point, coordinates=[37.05539833, 56.07514135]}";
"5107799620";"1004026";"Правление";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.64528237, 55.5344508]]]";"{type=Point, coordinates=[37.64528237, 55.5344508]}";
"5107799621";"1003916";"Лесная улица, 13 (АТС)";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.85967806, 55.63024503]]]";"{type=Point, coordinates=[37.85967806, 55.63024503]}";
"5107799622";"1004607";"Школа";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.21651987, 56.01576287]]]";"{type=Point, coordinates=[37.21651987, 56.01576287]}";
"5107799623";"1003907";"Дворец культуры «Энергетик»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.84133359, 55.6381059]]]";"{type=Point, coordinates=[37.84133359, 55.6381059]}";
"5107799624";"1004257";"МЦД Химки";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.45000796, 55.89471346]]]";"{type=Point, coordinates=[37.45000796, 55.89471346]}";
"5107799625";"1004074";"Дроздово";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.794664, 55.60162903]]]";"{type=Point, coordinates=[37.794664, 55.60162903]}";
"5107799626";"1003923";"Арка";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.86700165, 55.6253726]]]";"{type=Point, coordinates=[37.86700165, 55.6253726]}";
"5107799627";"1004024";"ЖК «Видный город»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.63896035, 55.53707081]]]";"{type=Point, coordinates=[37.63896035, 55.53707081]}";
